CODIGO_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,CICLO_LECTIVO,COD_CARRERA,CARRERA,COD_GRADO,GRADO,ORDEN,AREA,COD_CNB,NOMBRE_ASIGNATURA,ABREVIATURA,PERIODOS_SEMANALES,OBLIGATORIA,ESTADO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,1,CONTABILIDAD,6PC-01,Contabilidad Bancaria,6PC-01,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,2,CONTABILIDAD,6PC-02,Contabilidad Gubernamental Integrada,6PC-02,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,3,MATEMÁTICA,6PC-03,Estadística Comercial,6PC-03,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,4,ORGANIZACIÓN DE EMPRESAS,6PC-04,Organización de Empresas,6PC-04,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,5,ÉTICA PROFESIONAL Y RELACIONES HUMANAS,6PC-05,Ética Profesional y Relaciones Humanas,6PC-05,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,6,PRÁCTICA SUPERVISADA,6PC-06,Práctica Supervisada,6PC-06,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,7,AUDITORÍA,6PC-07,Auditoría,6PC-07,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,8,DERECHO MERCANTIL Y NOCIONES DEL DERECHO LABORAL,6PC-08,Derecho Mercantil y Nociones de Derecho Laboral,6PC-08,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,9,COMPUTACIÓN,6PC-09,Computación III,6PC-09,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,6TO_PC,6to Perito Contador,10,INVESTIGACIÓN,6PC-10,Seminario sobre Problemas Socioeconómicos de Guatemala,6PC-10,3,SI,ACTIVO
